class_name,vietnamese_name,ingredients,description,instructions
Banh beo,Bánh Bèo,"Bột gạo, tôm chấy, mỡ hành, da heo chiên giòn, nước mắm pha","Món bánh hấp dẫn từ Huế, mềm mịn, thơm mùi gạo và tôm, ăn kèm nước mắm ngọt.","1. Pha bột gạo với nước, hấp trong chén nhỏ.
2. Rắc tôm chấy, mỡ hành và da heo lên trên.
3. Chan nước mắm ngọt và thưởng thức."
Banh bot loc,Bánh Bột Lọc,"Bột năng, tôm, thịt ba chỉ, nước mắm, hành lá","Bánh dai trong veo, lộ nhân tôm thịt đỏ au hấp dẫn, chấm nước mắm cay nồng.","1. Xào nhân tôm thịt đậm đà.
2. Gói nhân vào bột năng, luộc chín hoặc hấp lá chuối.
3. Làm mỡ hành rưới lên bánh, ăn kèm nước mắm ớt."
Banh can,Bánh Căn,"Bột gạo, trứng cút/trứng gà, tôm, mực, mỡ hành, xoài xanh","Bánh nướng trên khuôn đất nung, giòn vỏ mềm trong, ăn với nước mắm xíu mại hoặc mắm nêm.","1. Đổ bột vào khuôn đất nung nóng hổi.
2. Thêm trứng, tôm hoặc mực lên mặt bánh.
3. Úp cặp bánh lại, ăn kèm nước chấm và xoài băm."
Banh canh,Bánh Canh,"Sợi bánh canh (bột lọc/bột gạo), xương heo, tôm, chả cá, hành ngò","Món nước sệt, sợi bánh dai ngon, nước dùng ngọt thanh từ xương và hải sản.","1. Hầm xương heo lấy nước dùng ngọt.
2. Nấu sợi bánh canh trong nước lèo cho thấm.
3. Múc ra tô, thêm tôm, chả, hành ngò và tiêu."
Banh chung,Bánh Chưng,"Gạo nếp, đậu xanh, thịt ba chỉ, lá dong, gia vị","Món bánh cổ truyền ngày Tết, dẻo thơm rền hạt, nhân thịt đậu béo ngậy.","1. Ngâm nếp và đậu xanh, ướp thịt ba chỉ.
2. Gói bánh bằng lá dong, nhân thịt đậu ở giữa.
3. Luộc bánh trong 10-12 tiếng cho chín rền."
Banh cuon,Bánh Cuốn,"Bột gạo, thịt băm, mộc nhĩ, hành phi, chả lụa","Bánh tráng mỏng tang, nhân thịt mộc nhĩ thơm lừng, rắc hành phi giòn tan.","1. Tráng lớp bột mỏng trên nồi hơi.
2. Cuốn bánh với nhân thịt băm mộc nhĩ.
3. Cắt bánh, rắc hành phi, ăn cùng chả lụa và nước mắm."
Banh duc,Bánh Đúc,"Bột gạo, nước vôi trong, lạc (đậu phộng), thịt băm, mộc nhĩ","Bánh đúc nóng dẻo quánh, hoặc bánh đúc lạc giòn sần sật, dân dã mà ngon.","1. Nấu bột gạo với nước vôi trong đến khi sệt lại.
2. Thêm lạc hoặc đổ ra bát ăn cùng thịt băm mộc nhĩ.
3. Chan nước mắm chua ngọt, thêm rau mùi."
Banh gio,Bánh Giò,"Bột gạo tẻ, thịt nạc vai, mộc nhĩ, trứng cút, lá chuối","Bánh gói lá chuối hình chóp, bột mềm tan, nhân thịt đậm đà, ăn nóng rất ấm bụng.","1. Khuấy bột gạo với nước xương hầm cho sệt.
2. Gói bột với nhân thịt, trứng cút vào lá chuối.
3. Hấp cách thủy đến khi bánh chín mềm."
Banh khot,Bánh Khọt,"Bột gạo, nước cốt dừa, tôm, bột nghệ, hành lá","Bánh chiên giòn rụm, vàng ươm, nhân tôm tươi, ăn kèm rau sống và nước mắm chua ngọt.","1. Pha bột gạo với nước cốt dừa và bột nghệ.
2. Đổ bột vào khuôn, thêm tôm, đậy nắp cho chín giòn.
3. Ăn kèm cái bánh với rau sống và nước mắm."
Banh mi,Bánh Mì,"Bánh mì, pate, thịt nguội, chả lụa, dưa leo, đồ chua, ngò rí","Món ăn đường phố nổi tiếng thế giới, vỏ giòn ruột xốp, nhân thập cẩm hài hòa.","1. Nướng lại bánh mì cho giòn tan.
2. Phết pate, bơ, xếp lần lượt thịt, chả, dưa leo.
3. Thêm đồ chua, ngò rí, ớt và chan nước sốt."
Banh pia,Bánh Pía,"Bột mì, đậu xanh, sầu riêng, trứng muối, mỡ heo","Đặc sản Sóc Trăng, vỏ ngàn lớp mỏng manh, nhân sầu riêng đậu xanh ngọt ngào.","1. Làm vỏ bánh nhiều lớp từ bột mì và dầu.
2. Sên nhân đậu xanh sầu riêng bọc trứng muối.
3. Bao vỏ trọn nhân, nướng vàng mặt bánh."
Banh tet,Bánh Tét,"Gạo nếp, đậu xanh, thịt mỡ, lá chuối","Món bánh Tết miền Nam, hình trụ tròn, nếp dẻo xanh màu lá chuối hoặc lá cẩm.","1. Xào nếp với nước cốt dừa (tùy chọn).
2. Gói nếp và nhân đậu thịt trong lá chuối thành đòn dài.
3. Luộc bánh nhiều giờ, cắt khoanh khi ăn."
Banh trang nuong,Bánh Tráng Nướng,"Bánh tráng, trứng cút, hành lá, tép khô, xúc xích, phô mai","Được ví như Pizza Việt Nam, đế mỏng giòn tan, topping phong phú, nướng than hoa thơm lừng.","1. Đặt bánh tráng lên vỉ nướng than.
2. Tráng trứng, rắc hành, tép, xúc xích lên mặt.
3. Xoay đều đến khi chín giòn, rưới tương ớt và gấp lại."
Banh xeo,Bánh Xèo,"Bột gạo, bột nghệ, tôm, thịt ba chỉ, giá đỗ, bia (tùy chọn)","Bánh chiên chảo lớn tiếng xèo xèo vui tai, vỏ mỏng giòn, cuốn bánh tráng rau rừng.","1. Tráng lớp bột mỏng trên chảo nóng già.
2. Thêm nhân tôm thịt, giá đỗ, đậy nắp cho chín.
3. Gập đôi bánh, lấy ra ăn kèm rau sống nước chấm."
Bun bo Hue,Bún Bò Huế,"Bún to, bắp bò, giò heo, chả cua, huyết, mắm ruốc, sả","Món bún cay nồng đậm chất Huế, nước lèo thơm mùi mắm ruốc sả, vị đậm đà khó quên.","1. Hầm xương và thịt bò với sả, nêm mắm ruốc.
2. Trụng bún, xếp thịt, chả, huyết lên trên.
3. Chan nước lèo nóng hổi, thêm sa tế và rau thơm."
Bun dau mam tom,Bún Đậu Mắm Tôm,"Bún lá, đậu phụ, thịt chân giò luộc, chả cốm, mắm tôm, quất (tắc)","Món ăn dân dã miền Bắc, đậu mơ rán giòn, mắm tôm pha chanh ớt sủi bọt hấp dẫn.","1. Rán đậu phụ vàng giòn, cắt miếng vừa ăn.
2. Thái thịt luộc, chiên chả cốm.
3. Xếp len mẹt, pha mắm tôm đánh sủi bọt để chấm."
Bun mam,Bún Mắm,"Bún, mắm cá linh/sặc, tôm, mực, heo quay, cà tím, rau đắng","Đặc sản miền Tây, nước lèo nấu từ mắm cá thơm lừng, topping hải sản và rau ghém phong phú.","1. Nấu mắm cá cho tan, lọc lấy nước cốt nấu lèo.
2. Thêm cà tím, sả, nêm nếm vừa ăn.
3. Chan nước lèo vào tô bún có sẵn tôm, mực, heo quay."
Bun rieu,Bún Riêu,"Bún, cua đồng, cà chua, đậu phụ, huyết, giấm bỗng/me","Canh bún vị thanh chua dịu, riêu cua đóng tảng béo ngậy, màu đỏ cà chua bắt mắt.","1. Giã cua lọc lấy nước, nấu cho riêu nổi lên.
2. Xào cà chua tạo màu, thêm vào nồi nước dùng.
3. Chan nước riêu vào bún, thêm đậu rán và rau sống."
Bun thit nuong,Bún Thịt Nướng,"Bún, thịt heo nướng, chả giò, mỡ hành, đậu phộng, đồ chua","Món bún khô, thịt nướng sả thơm phức, chan nước mắm chua ngọt, trộn đều rất ngon.","1. Ướp thịt heo với sả, gia vị rồi nướng than.
2. Cho bún, rau sống, dưa leo vào tô.
3. Xếp thịt nướng, chả giò lên, rắc đậu phộng và chan nước mắm."
Ca kho to,Cá Kho Tộ,"Cá lóc/cá basa, thịt ba chỉ, nước màu, nước mắm, tiêu, ớt","Cá kho trong niêu đất, màu nâu cánh gián đẹp mắt, vị mặn ngọt đậm đà đưa cơm.","1. Ướp cá với nước mắm, nước hàng, tiêu ớt.
2. Kho lửa liu riu trong niêu đất đến khi nước keo lại.
3. Rắc thêm tiêu, hành lá, ăn nóng với cơm trắng."
Canh chua,Canh Chua,"Cá (lóc/bông lau), me/dứa, cà chua, giá, bạc hà, đậu bắp","Món canh giải nhiệt, vị chua ngọt hài hòa, thơm mùi rau ngổ ngò gai đặc trưng.","1. Nấu nước sôi, dầm me lấy vị chua.
2. Thả cá vào nấu chín, vớt bọt.
3. Thêm các loại rau, nêm nếm chua ngọt, rắc tỏi phi."
Cao lau,Cao Lầu,"Sợi cao lầu, thịt xíu, da heo chiên giòn, rau đắng, nước sốt","Đặc sản Hội An, sợi mì dai màu vàng sậm, thịt xíu mềm, ít nước nhưng đậm vị.","1. Rim thịt heo xá xíu đậm đà.
2. Trụng sợi cao lầu cho mềm dai.
3. Trộn cao lầu với thịt, da heo chiên, rau và ít nước sốt."
Chao long,Cháo Lòng,"Gạo, tiết heo, lòng non, dạ dày, gan, dồi, hành ngò","Cháo nấu sánh nhuyễn, thêm tiết sẫm màu, lòng lợn luộc giòn sần sật, ấm bụng ngày đông.","1. Ninh cháo với nước luộc lòng cho ngọt.
2.  đánh tiết vào cháo cho sánh màu nâu.
3. Múc cháo ra tô, phủ lòng dồi thái miếng lên trên."
Com tam,Cơm Tấm,"Gạo tấm, sườn nướng, bì, chả trứng, mỡ hành, nước mắm kẹo","Món cơm trứ danh Sài Gòn, hạt cơm tơi xốp, sườn nướng cháy cạnh, bì chả hài hòa.","1. Nấu cơm từ gạo tấm cho tơi xốp.
2. Nướng sườn cốt lết đã ướp thấm vị.
3. Xới cơm, thêm sườn bì chả, rưới mỡ hành và nước mắm."
Goi cuon,Gỏi Cuốn,"Bánh tráng, tôm, thịt ba chỉ, bún, hẹ, xà lách","Món khai vị thanh đạm, tôm thịt tươi ngon cuốn chặt tay, chấm tương đen hoặc mắm nêm.","1. Luộc tôm thịt chín tới, thái lát mỏng.
2. Làm ẩm bánh tráng, xếp rau, bún, tôm thịt.
3. Cuộn tròn chặt tay, kẹp thêm cọng hẹ cho đẹp."
Hu tieu,Hủ Tiếu,"Sợi hủ tiếu dai, xương ống, thịt băm, tôm, gan, trứng cút","Món ăn phổ biến miền Nam, nước dùng ngọt xương, đa dạng topping, ăn khô hay nước đều ngon.","1. Hầm xương ống lấy nước lèo trong veo.
2. Trụng hủ tiếu, trộn dầu tỏi cho không dính (nếu ăn khô).
3. Thêm topping tôm thịt gan, chan nước lèo hoặc nước sốt."
Mi quang,Mì Quảng,"Sợi mì Quảng, tôm, thịt gà/heo, trứng cút, bánh đa, đậu phộng","Đặc sản Quảng Nam, sợi mì to vàng nghệ, nước nhưng xâm xấp đậm đà, ăn kèm bánh tráng nướng.","1. Nấu nước nhưng từ tôm thịt kho đậm.
2. Cho mì vào tô, chan ít nước nhưng vừa đủ thấm.
3. Rắc đậu phộng, hành, bẻ bánh tráng nướng ăn kèm."
Nem chua,Nem Chua,"Thịt nạc mông, bì heo, thính gạo, tỏi, ớt, lá đinh lăng","Món nhậu lai rai, vị chua thanh của thịt lên men, giòn của bì, cay của ớt tỏi.","1. Xay nhuyễn thịt nóng, trộn với bì và thính.
2. Gói chặt cùng tỏi ớt lá đinh lăng, bọc lá chuối.
3. Để lên men tự nhiên 3-5 ngày là ăn được."
Pho,Phở,"Bánh phở, xương bò, thịt bò tái/nạm, quế, hồi, thảo quả","Quốc hồn quốc túy Việt Nam, nước dùng thanh tao thơm mùi quế hồi, bánh phở mềm mướt.","1. Ninh xương bò nhiều giờ với gia vị quế hồi nướng.
2. Chần bánh phở, xếp thịt bò thái mỏng lên.
3. Chan nước dùng thật sôi, rắc hành ngò thái nhỏ."
Xoi xeo,Xôi Xéo,"Gạo nếp cái hoa vàng, đậu xanh, hành phi, mỡ gà, bột nghệ","Gói xôi vàng ươm màu nghệ, đậu xanh bùi bùi cắt lát, hành phi giòn rụm béo ngậy.","1. Đồ xôi với nước nghệ cho vàng dẻo.
2. Hấp đậu xanh chín, nghiền mịn rồi nắm chặt, thái lát lên xôi.
3. Rưới mỡ gà, rắc nhiều hành phi lên trên."
